geo,end_market,asset_type,oem_brand,sku_tier,sku_profile,include_terms,exclude_terms,price_type,data_source_type,currency_preference
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",CommScope / Arris,Low-end,DOCSIS 3.0 modem,CommScope;Arris DOCSIS 3.0 modem,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",CommScope / Arris,Mid-range,DOCSIS 3.1 modem-router,CommScope;Arris DOCSIS 3.1 modem-router,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",CommScope / Arris,High-end,Wi-Fi 6 gateway,CommScope;Arris Wi-Fi 6 gateway,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",Motorola,Low-end,Cable modem,Motorola Cable modem,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",Motorola,Mid-range,DOCSIS 3.1 modem,Motorola DOCSIS 3.1 modem,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",Motorola,High-end,Modem-router gateway,Motorola Modem-router gateway,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",Netgear,Low-end,Nighthawk Wi-Fi 5 router,Netgear Nighthawk Wi-Fi 5 router,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",Netgear,Mid-range,Nighthawk Wi-Fi 6 router,Netgear Nighthawk Wi-Fi 6 router,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",Netgear,High-end,Orbi mesh / Wi-Fi 6E,Netgear Orbi mesh;Wi-Fi 6E,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",TP-Link,Low-end,Archer router,TP-Link Archer router,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",TP-Link,Mid-range,Deco mesh,TP-Link Deco mesh,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",TP-Link,High-end,Wi-Fi 6E / Wi-Fi 7 router,TP-Link Wi-Fi 6E;Wi-Fi 7 router,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",Ubiquiti,Low-end,UniFi Security Gateway,Ubiquiti UniFi Security Gateway,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",Ubiquiti,Mid-range,UniFi Dream Machine,Ubiquiti UniFi Dream Machine,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Broadband gateways, routers, modems",Ubiquiti,High-end,UniFi Dream Machine Pro / SE,Ubiquiti UniFi Dream Machine Pro;SE,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Eero,Low-end,Eero node,Eero Eero node,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Eero,Mid-range,Eero 6 mesh,Eero Eero 6 mesh,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Eero,High-end,Eero Pro 6E / Max 7,Eero Eero Pro 6E;Max 7,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Netgear,Low-end,Wi-Fi extender,Netgear Wi-Fi extender,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Netgear,Mid-range,Orbi satellite,Netgear Orbi satellite,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Netgear,High-end,Orbi Pro,Netgear Orbi Pro,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",TP-Link,Low-end,Range extender,TP-Link Range extender,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",TP-Link,Mid-range,Deco mesh node,TP-Link Deco mesh node,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",TP-Link,High-end,Deco Wi-Fi 6E / 7,TP-Link Deco Wi-Fi 6E;7,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Google Nest,Low-end,Google Wi-Fi point,Google Nest Google Wi-Fi point,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Google Nest,Mid-range,Nest Wi-Fi router,Google Nest Nest Wi-Fi router,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Google Nest,High-end,Nest Wi-Fi Pro,Google Nest Nest Wi-Fi Pro,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Plume,Low-end,Plume pod,Plume Plume pod,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Plume,Mid-range,SuperPod,Plume SuperPod,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,"Other CPE: mesh, extenders, repeaters",Plume,High-end,Operator-managed mesh kit,Plume Operator-managed mesh kit,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
